관저고,누가거리,결과
49.60,0.00,관저고 49.60 에 누가거리 0.00
49.82,97.70,관저고 49.82 에 누가거리 97.70
50.56,174.93,관저고 50.56 에 누가거리 174.93
50.56,266.08,관저고 50.56 에 누가거리 266.08
50.56,266.29,관저고 50.56 에 누가거리 266.29
51.20,267.84,관저고 51.20 에 누가거리 267.84
51.61,360.00,관저고 51.61 에 누가거리 360.00
51.68,371.88,관저고 51.68 에 누가거리 371.88
51.68,405.48,관저고 51.68 에 누가거리 405.48
51.68,408.67,관저고 51.68 에 누가거리 408.67
51.04,409.31,관저고 51.04 에 누가거리 409.31
51.04,409.98,관저고 51.04 에 누가거리 409.98
51.04,440.00,관저고 51.04 에 누가거리 440.00
51.04,471.95,관저고 51.04 에 누가거리 471.95
49.89,473.10,관저고 49.89 에 누가거리 473.10
49.89,473.71,관저고 49.89 에 누가거리 473.71
49.89,474.53,관저고 49.89 에 누가거리 474.53
49.89,474.84,관저고 49.89 에 누가거리 474.84
51.31,476.26,관저고 51.31 에 누가거리 476.26
51.31,479.04,관저고 51.31 에 누가거리 479.04
51.31,489.19,관저고 51.31 에 누가거리 489.19
51.31,495.96,관저고 51.31 에 누가거리 495.96
52.67,497.32,관저고 52.67 에 누가거리 497.32
52.67,497.43,관저고 52.67 에 누가거리 497.43
52.67,506.46,관저고 52.67 에 누가거리 506.46
52.67,506.65,관저고 52.67 에 누가거리 506.65
52.91,507.23,관저고 52.91 에 누가거리 507.23
53.37,530.97,관저고 53.37 에 누가거리 530.97
53.94,620.77,관저고 53.94 에 누가거리 620.77
54.05,632.52,관저고 54.05 에 누가거리 632.52
54.05,640.00,관저고 54.05 에 누가거리 640.00
54.05,736.69,관저고 54.05 에 누가거리 736.69
54.05,738.84,관저고 54.05 에 누가거리 738.84
54.90,739.69,관저고 54.90 에 누가거리 739.69
54.90,746.68,관저고 54.90 에 누가거리 746.68
54.90,757.05,관저고 54.90 에 누가거리 757.05
55.09,780.61,관저고 55.09 에 누가거리 780.61
55.09,800.00,관저고 55.09 에 누가거리 800.00
55.09,836.38,관저고 55.09 에 누가거리 836.38
55.09,838.68,관저고 55.09 에 누가거리 838.68
55.54,839.82,관저고 55.54 에 누가거리 839.82
55.54,840.00,관저고 55.54 에 누가거리 840.00
55.54,889.19,관저고 55.54 에 누가거리 889.19
55.54,889.55,관저고 55.54 에 누가거리 889.55
55.98,890.61,관저고 55.98 에 누가거리 890.61
56.63,965.72,관저고 56.63 에 누가거리 965.72
56.63,"1,056.67","관저고 56.63 에 누가거리 1,056.67"
57.36,"1,058.43","관저고 57.36 에 누가거리 1,058.43"
57.36,"1,058.63","관저고 57.36 에 누가거리 1,058.63"
57.36,"1,157.84","관저고 57.36 에 누가거리 1,157.84"
57.36,"1,158.20","관저고 57.36 에 누가거리 1,158.20"
